,ori_node,des_node,ori_layer,des_layer
351,17423.0,7922.0,2.0,2.0
352,17423.0,11542.0,2.0,2.0
353,17423.0,25380.0,2.0,2.0
354,17425.0,33810.0,2.0,2.0
355,17425.0,40508.0,2.0,2.0
356,17617.0,14766.0,2.0,2.0
357,17617.0,33257.0,2.0,2.0
358,17617.0,38414.0,2.0,2.0
359,17745.0,4480.0,2.0,2.0
360,17745.0,12277.0,2.0,2.0
361,18026.0,6808.0,2.0,2.0
362,18026.0,22331.0,2.0,2.0
363,18026.0,32412.0,2.0,2.0
364,18397.0,727.0,2.0,2.0
365,18397.0,43501.0,2.0,2.0
366,18397.0,44502.0,2.0,2.0
367,18397.0,45767.0,2.0,2.0
368,18446.0,10548.0,2.0,2.0
369,18446.0,18835.0,2.0,2.0
370,18446.0,35084.0,2.0,2.0
371,18447.0,5892.0,2.0,2.0
372,18447.0,7458.0,2.0,2.0
373,18447.0,23690.0,2.0,2.0
374,18447.0,35082.0,2.0,2.0
375,18467.0,5719.0,2.0,2.0
376,18467.0,7300.0,2.0,2.0
377,18467.0,9862.0,2.0,2.0
378,18467.0,37229.0,2.0,2.0
379,18467.0,39448.0,2.0,2.0
380,18467.0,45024.0,2.0,2.0
381,18467.0,49716.0,2.0,2.0
382,18467.0,50543.0,2.0,2.0
383,18624.0,16461.0,2.0,2.0
384,18624.0,25881.0,2.0,2.0
385,18624.0,28622.0,2.0,2.0
386,19333.0,43501.0,2.0,2.0
387,19333.0,44502.0,2.0,2.0
388,19516.0,2760.0,2.0,2.0
389,19516.0,12690.0,2.0,2.0
390,19516.0,19584.0,2.0,2.0
391,19516.0,22872.0,2.0,2.0
392,19516.0,30363.0,2.0,2.0
393,19516.0,33013.0,2.0,2.0
394,19519.0,10766.0,2.0,2.0
395,19519.0,42147.0,2.0,2.0
396,19584.0,2760.0,2.0,2.0
397,19584.0,19516.0,2.0,2.0
398,19584.0,23540.0,2.0,2.0
399,19584.0,34317.0,2.0,2.0
400,19699.0,5772.0,2.0,2.0
401,19699.0,33810.0,2.0,2.0
402,19715.0,1902.0,2.0,2.0
403,19715.0,4480.0,2.0,2.0
404,19715.0,8859.0,2.0,2.0
405,19715.0,12690.0,2.0,2.0
406,20165.0,29517.0,2.0,2.0
407,20165.0,39259.0,2.0,2.0
408,20165.0,41580.0,2.0,2.0
409,20346.0,249.0,2.0,2.0
410,20346.0,18624.0,2.0,2.0
411,20346.0,25881.0,2.0,2.0
412,20346.0,28524.0,2.0,2.0
413,20346.0,28622.0,2.0,2.0
414,20346.0,41580.0,2.0,2.0
415,20397.0,58.0,2.0,2.0
416,20397.0,7458.0,2.0,2.0
417,20397.0,23690.0,2.0,2.0
418,20397.0,24535.0,2.0,2.0
419,20397.0,31956.0,2.0,2.0
420,20397.0,38319.0,2.0,2.0
421,20549.0,11801.0,2.0,2.0
422,20549.0,15927.0,2.0,2.0
423,20549.0,39573.0,2.0,2.0
424,20890.0,11991.0,2.0,2.0
425,20890.0,35243.0,2.0,2.0
426,20954.0,31956.0,2.0,2.0
427,20954.0,35783.0,2.0,2.0
428,20981.0,13050.0,2.0,2.0
429,20981.0,32933.0,2.0,2.0
430,20981.0,34946.0,2.0,2.0
431,20981.0,35458.0,2.0,2.0
432,20981.0,37496.0,2.0,2.0
433,20981.0,40835.0,2.0,2.0
434,20981.0,48219.0,2.0,2.0
435,21046.0,27200.0,2.0,2.0
436,21046.0,33514.0,2.0,2.0
437,21215.0,48282.0,2.0,2.0
438,21215.0,48585.0,2.0,2.0
439,21728.0,3597.0,2.0,2.0
440,21728.0,28709.0,2.0,2.0
441,22272.0,811.0,2.0,2.0
442,22272.0,5002.0,2.0,2.0
443,22272.0,35082.0,2.0,2.0
444,22272.0,48374.0,2.0,2.0
445,22272.0,48585.0,2.0,2.0
446,22307.0,12678.0,2.0,2.0
447,22307.0,27200.0,2.0,2.0
448,22307.0,34450.0,2.0,2.0
449,22307.0,38732.0,2.0,2.0
450,22331.0,843.0,2.0,2.0
451,22331.0,2837.0,2.0,2.0
452,22331.0,4598.0,2.0,2.0
453,22331.0,12281.0,2.0,2.0
454,22331.0,21257.0,2.0,2.0
455,22331.0,24142.0,2.0,2.0
456,22331.0,30259.0,2.0,2.0
457,22331.0,32412.0,2.0,2.0
458,22331.0,35053.0,2.0,2.0
459,22429.0,12495.0,2.0,2.0
460,22429.0,33225.0,2.0,2.0
461,22447.0,12764.0,2.0,2.0
462,22447.0,40835.0,2.0,2.0
463,22479.0,2837.0,2.0,2.0
464,22479.0,43119.0,2.0,2.0
465,22856.0,2708.0,2.0,2.0
466,22856.0,12763.0,2.0,2.0
467,22872.0,19516.0,2.0,2.0
468,22872.0,26411.0,2.0,2.0
469,22872.0,31640.0,2.0,2.0
470,23240.0,21047.0,2.0,2.0
471,23240.0,23284.0,2.0,2.0
472,23240.0,34874.0,2.0,2.0
473,23284.0,23240.0,2.0,2.0
474,23284.0,37342.0,2.0,2.0
475,23348.0,26777.0,2.0,2.0
476,23348.0,28524.0,2.0,2.0
477,23348.0,28622.0,2.0,2.0
478,23348.0,40253.0,2.0,2.0
479,23540.0,10368.0,2.0,2.0
480,23540.0,19584.0,2.0,2.0
481,23543.0,11215.0,2.0,2.0
482,23543.0,32505.0,2.0,2.0
483,23690.0,811.0,2.0,2.0
484,23690.0,7458.0,2.0,2.0
485,23690.0,16158.0,2.0,2.0
486,23690.0,18447.0,2.0,2.0
487,23690.0,20397.0,2.0,2.0
488,23690.0,22272.0,2.0,2.0
489,23690.0,34600.0,2.0,2.0
490,23690.0,35082.0,2.0,2.0
491,23690.0,48253.0,2.0,2.0
492,23871.0,16863.0,2.0,2.0
493,23871.0,30999.0,2.0,2.0
494,23964.0,8142.0,2.0,2.0
495,23964.0,45432.0,2.0,2.0
496,23964.0,49170.0,2.0,2.0
497,24142.0,843.0,2.0,2.0
498,24142.0,22331.0,2.0,2.0
499,24142.0,35373.0,2.0,2.0
500,24142.0,41890.0,2.0,2.0
501,24535.0,6534.0,2.0,2.0
502,24535.0,15091.0,2.0,2.0
503,24535.0,15792.0,2.0,2.0
504,24535.0,20397.0,2.0,2.0
505,24535.0,33700.0,2.0,2.0
506,24798.0,2097.0,2.0,2.0
507,24798.0,16984.0,2.0,2.0
508,25380.0,1943.0,2.0,2.0
509,25380.0,2523.0,2.0,2.0
510,25380.0,4480.0,2.0,2.0
511,25380.0,9685.0,2.0,2.0
512,25380.0,11542.0,2.0,2.0
513,25380.0,13745.0,2.0,2.0
514,25380.0,16766.0,2.0,2.0
515,25380.0,17423.0,2.0,2.0
516,25380.0,18421.0,2.0,2.0
517,25380.0,27200.0,2.0,2.0
518,25380.0,30363.0,2.0,2.0
519,25380.0,35082.0,2.0,2.0
520,25380.0,37358.0,2.0,2.0
521,25380.0,38738.0,2.0,2.0
522,25380.0,39838.0,2.0,2.0
523,25380.0,40739.0,2.0,2.0
524,25380.0,41487.0,2.0,2.0
525,25380.0,48282.0,2.0,2.0
526,25380.0,50552.0,2.0,2.0
527,26052.0,17150.0,2.0,2.0
528,26052.0,48361.0,2.0,2.0
529,26119.0,32505.0,2.0,2.0
530,26119.0,40127.0,2.0,2.0
531,26219.0,2467.0,2.0,2.0
